ellapsed_exp_time,frame_id,start_frame_time,ellapsed_element_time,element_order,routine_name,element_iteration,condition_name,condition_nb_calls,actions_count,connectors_count,connections_count,condition_duration,eyes_camera_pos,eyes_camera_rot,camera_calibration_pos,camera_calibration_rot,camera_rig_pos,camera_rig_rot,framerate
24.8971,0,16.6461,22.1928,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07600981 2.332236 1.167231,1.187628 177.7592 176.5356,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,82.15857
45.3803,1,26.2416,42.6798,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07601501 2.332201 1.167267,1.212004 177.7393 176.5579,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,82.50533
56.1176,2,46.0245,53.4225,0,Lab_Idle,0,default,0,16,0,0,10000,-0.0760013 2.332075 1.167399,1.304305 177.7354 176.5481,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,82.05304
69.5607,3,56.6452,66.8646,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07594559 2.332016 1.167467,1.34918 177.7144 176.5268,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,82.20993
79.6834,4,70.043,76.9832,0,Lab_Idle,0,default,0,16,0,0,10000,-0.0758962 2.331949 1.167543,1.401189 177.721 176.4828,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,82.10291
102.8997,5,80.1677,100.2093,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07592019 2.33187 1.167623,1.45939 177.743 176.4762,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,82.32892
113.4735,6,103.5797,110.7865,0,Lab_Idle,0,default,0,16,0,0,10000,-0.0759605 2.331687 1.167813,1.593143 177.7467 176.4961,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,81.80544
134.887,7,114.0251,132.1856,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07605811 2.331438 1.168067,1.774138 177.7698 176.5366,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,81.96803
145.8369,8,135.4589,143.1355,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07612602 2.330873 1.168666,2.190745 177.7627 176.5753,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,81.51222
156.7445,9,146.3076,154.0428,0,Lab_Idle,0,default,0,16,0,0,10000,-0.0761608 2.330545 1.169018,2.434254 177.7545 176.5983,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,82.5146
179.4303,10,157.0991,176.7302,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07610115 2.329951 1.169679,2.878037 177.6232 176.6617,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,82.6252
189.9061,11,180.037,187.2028,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07612085 2.329292 1.170413,3.373963 177.5557 176.7175,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,82.5927
213.7191,12,190.221,211.0185,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07607295 2.328913 1.170847,3.664057 177.5047 176.7176,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,82.76157
224.0156,13,214.2344,221.3116,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07600664 2.328454 1.171381,4.018392 177.4507 176.7036,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,82.73932
235.0094,14,224.3558,232.3128,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07599755 2.328445 1.171391,4.024891 177.4518 176.6957,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,83.41849
257.3645,15,235.4571,254.6625,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07608798 2.328762 1.171017,3.779621 177.5133 176.715,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,83.51012
268.0002,16,257.8073,265.2988,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07612786 2.328901 1.170855,3.671253 177.5198 176.7426,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,83.49841
278.9638,17,268.3637,276.2626,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07613266 2.329194 1.170523,3.447168 177.5262 176.7504,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,84.12435
302.6263,18,279.4462,299.9248,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07620887 2.329643 1.17001,3.104709 177.5939 176.7569,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,84.20127
313.1598,19,303.2558,310.46,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07627688 2.329892 1.169725,2.914829 177.6337 176.7764,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,84.29497
323.9334,20,313.6968,321.2303,0,Lab_Idle,0,default,0,16,0,0,10000,-0.0763034 2.330018 1.169583,2.819446 177.6485 176.7854,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,84.42851
346.23,21,324.3873,343.539,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07627634 2.330002 1.169604,2.833394 177.6594 176.7551,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,84.53925
357.2287,22,347.0524,354.5259,0,Lab_Idle,0,default,0,16,0,0,10000,-0.076256 2.330098 1.1695,2.762072 177.6624 176.7407,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,84.79465
367.8336,23,357.8173,365.1315,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07614874 2.330022 1.169595,2.82056 177.6052 176.7155,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,85.23274
390.2646,24,368.3146,387.5635,0,Lab_Idle,0,default,0,16,0,0,10000,-0.07597269 2.329718 1.169951,3.0534 177.5036 176.6748,-0.07598724 2.332345 1.16712,0 177.7469 0,0.6000447 -2.209345 0.5537953,0 2.253088 0,85.28497
