frame_id,routine_name,condition_name,ellapsed_exp_time,ellapsed_element_time,trigger_info
0,Lab_Idle,default,14.6544,11.2408,send_bytes [0A]
8,Lab_Idle,default,127.2481,123.8345,send_bytes [00]
61,Lab_Idle,default,1011.365,1007.952,send_bytes [00]
68,Lab_Idle,default,1134.376,1130.962,send_bytes [00]
1628,Lab_Instruction1,default,25732.46,27.4654,send_bytes [0B]
1634,Lab_Instruction1,default,25852.46,147.4647,send_bytes [00]
2214,Lab_Idle,default,26697.98,593.0129,send_bytes [00]
2214,Lab_Idle,default,26863.58,758.6103,send_bytes [00]
2214,Lab_Idle,default,34771.99,22.3211,send_bytes [0C]
2223,Lab_Idle,default,34887,137.3337,send_bytes [00]
2280,Lab_Idle,default,35754.11,1004.441,send_bytes [00]
2290,Lab_Idle,default,35896.13,1146.459,send_bytes [00]
2863,Lab_RestingStateEyesClosed,default,44580.79,19.4099,send_bytes [35]
2872,Lab_RestingStateEyesClosed,default,44684.8,123.4168,send_bytes [00]
2928,Lab_RestingStateEyesClosed,default,45540.91,979.529,send_bytes [00]
2939,Lab_RestingStateEyesClosed,default,45707.93,1146.549,send_bytes [00]
14334,Lab_Idle,default,224594.3,22.7067,send_bytes [36]
14341,Lab_Idle,default,224696.7,125.1409,send_bytes [00]
14395,Lab_Idle,default,225585.4,1013.837,send_bytes [00]
14403,Lab_Idle,default,225706.4,1134.845,send_bytes [00]
15099,Lab_RestingStateEyesOpen,default,237466.9,28.4901,send_bytes [37]
15107,Lab_RestingStateEyesOpen,default,237574.4,135.9206,send_bytes [00]
15160,Lab_RestingStateEyesOpen,default,238442.1,1003.607,send_bytes [00]
15169,Lab_RestingStateEyesOpen,default,238586.1,1147.622,send_bytes [00]
26006,Lab_InstantTrigg,default,417478.6,19.8424,send_bytes [38]
26015,Lab_InstantTrigg,default,417594,135.2681,send_bytes [00]
26772,Lab_Idle,default,418473.7,792.7255,send_bytes [00]
26772,Lab_Idle,default,418604.7,923.7314,send_bytes [00]
37425,Forest_Control_Part1,default,598992.8,24.4709,send_bytes [21]
37429,Forest_Control_Part1,default,599098.8,130.4863,send_bytes [00]
37453,Forest_Control_Part1,default,599950.9,982.601,send_bytes [00]
37458,Forest_Control_Part1,default,600126.9,1158.616,send_bytes [00]
39513,Night_Control_Part2,default,670625.4,23.3219,send_bytes [49]
39519,Night_Control_Part2,default,670742.4,140.3558,send_bytes [00]
39555,Night_Control_Part2,default,671598.5,996.4407,send_bytes [00]
39561,Night_Control_Part2,default,671743,1140.887,send_bytes [00]
51615,Forest_Control_Part3,default,1010249,3.6778,send_bytes [4A]
51618,Forest_Control_Part3,default,1010350,105.319,send_bytes [00]
51641,Forest_Control_Part3,default,1011241,996.3875,send_bytes [00]
51644,Forest_Control_Part3,default,1011362,1116.822,send_bytes [00]
59679,Forest_PlatformMovement,default,1318386,39.9971,send_bytes [23]
59683,Forest_PlatformMovement,default,1318497,151.0114,send_bytes [00]
59706,Forest_PlatformMovement,default,1319349,1003.118,send_bytes [00]
59710,Forest_PlatformMovement,default,1319505,1159.159,send_bytes [00]
64718,Lab_WelcomeBack,default,1513839,32.6658,send_bytes [24]
