frame_id,routine_name,condition_name,ellapsed_exp_time,ellapsed_element_time,trigger_info
0,Lab_Idle,default,12.2286,8.3823,send_bytes [0A]
8,Lab_Idle,default,128.8182,124.972,send_bytes [00]
60,Lab_Idle,default,1016.931,1013.085,send_bytes [00]
67,Lab_Idle,default,1127.939,1124.093,send_bytes [00]
21445,Lab_Instruction1,default,368824.6,25.5648,send_bytes [0B]
21447,Lab_Instruction1,default,369254.2,455.1869,send_bytes [00]
21487,Lab_Instruction1,default,369878.3,1079.263,send_bytes [00]
21511,Lab_Instruction1,default,370257.8,1458.734,send_bytes [00]
28247,Lab_Idle,default,473126.1,17.553,send_bytes [0C]
28255,Lab_Idle,default,473233.6,124.98,send_bytes [00]
28312,Lab_Idle,default,474111.2,1002.668,send_bytes [00]
28320,Lab_Idle,default,474234.7,1126.106,send_bytes [00]
30067,Lab_RestingStateEyesClosed,default,501011,24.5752,send_bytes [35]
30074,Lab_RestingStateEyesClosed,default,501112,125.5828,send_bytes [00]
30131,Lab_RestingStateEyesClosed,default,501988.1,1001.69,send_bytes [00]
30140,Lab_RestingStateEyesClosed,default,502135.6,1149.138,send_bytes [00]
41600,Lab_Idle,default,681024.4,28.2962,send_bytes [36]
41609,Lab_Idle,default,681132,135.9083,send_bytes [00]
41666,Lab_Idle,default,681999.5,1003.427,send_bytes [00]
41676,Lab_Idle,default,682143.6,1147.437,send_bytes [00]
42445,Lab_RestingStateEyesOpen,default,694447.1,17.6957,send_bytes [37]
42454,Lab_RestingStateEyesOpen,default,694553.1,123.7075,send_bytes [00]
42510,Lab_RestingStateEyesOpen,default,695408.2,978.8086,send_bytes [00]
42520,Lab_RestingStateEyesOpen,default,695564.8,1135.41,send_bytes [00]
54190,Lab_InstantTrigg,default,874470.5,20.031,send_bytes [38]
54198,Lab_InstantTrigg,default,874573.1,122.6236,send_bytes [00]
54988,Lab_Idle,default,875475.2,802.7551,send_bytes [00]
54988,Lab_Idle,default,875574.2,901.7683,send_bytes [00]
62764,Forest_Control_Part1,default,1011396,24.5573,send_bytes [21]
62768,Forest_Control_Part1,default,1011502,130.5733,send_bytes [00]
62794,Forest_Control_Part1,default,1012359,987.0974,send_bytes [00]
62799,Forest_Control_Part1,default,1012523,1151.704,send_bytes [00]
65000,Night_Control_Part2,default,1083025,28.9795,send_bytes [49]
65007,Night_Control_Part2,default,1083145,148.4172,send_bytes [00]
65042,Night_Control_Part2,default,1083980,984.105,send_bytes [00]
65049,Night_Control_Part2,default,1084146,1149.538,send_bytes [00]
79003,Forest_Control_Part3,default,1422675,1.7769,send_bytes [4A]
79008,Forest_Control_Part3,default,1422782,109.3685,send_bytes [00]
79037,Forest_Control_Part3,default,1423678,1004.898,send_bytes [00]
79041,Forest_Control_Part3,default,1423807,1133.914,send_bytes [00]
88985,Forest_PlatformMovement,default,1730828,36.4704,send_bytes [23]
88991,Forest_PlatformMovement,default,1730960,168.9096,send_bytes [00]
89017,Forest_PlatformMovement,default,1731764,972.5917,send_bytes [00]
89024,Forest_PlatformMovement,default,1731995,1203.618,send_bytes [00]
95281,Lab_WelcomeBack,default,1926163,42.4263,send_bytes [24]
95289,Lab_WelcomeBack,default,1926268,147.437,send_bytes [00]
95340,Lab_WelcomeBack,default,1927113,992.3837,send_bytes [00]
95350,Lab_WelcomeBack,default,1927267,1146.564,send_bytes [00]
107603,Lab_PreFBI,default,2114908,22.4903,send_bytes [25]
107611,Lab_PreFBI,default,2115022,136.4985,send_bytes [00]
107667,Lab_PreFBI,default,2115878,992.6081,send_bytes [00]
107678,Lab_PreFBI,default,2116044,1158.63,send_bytes [00]
108337,Lab_FixationCross,synchroneous,2126007,21.7005,send_bytes [26]
108348,Lab_FixationCross,synchroneous,2126118,132.1235,send_bytes [00]
108426,Lab_FixationCross,synchroneous,2126984,998.8133,send_bytes [00]
108439,Lab_FixationCross,synchroneous,2127130,1144.252,send_bytes [00]
110227,Lab_Stroking,synchroneous,2147099,15.3844,send_bytes [27]
110237,Lab_Stroking,synchroneous,2147208,124.8203,send_bytes [00]
110308,Lab_Stroking,synchroneous,2148086,1002.508,send_bytes [00]
110319,Lab_Stroking,synchroneous,2148221,1137.524,send_bytes [00]
113476,Lab_FixationCross,synchroneous,2187112,17.5923,send_bytes [28]
113486,Lab_FixationCross,synchroneous,2187219,124.1872,send_bytes [00]
113565,Lab_FixationCross,synchroneous,2188097,1002.299,send_bytes [00]
113576,Lab_FixationCross,synchroneous,2188219,1124.313,send_bytes [00]
115275,Lab_FBIQuestionnaire,synchroneous,2207120,14.393,send_bytes [29]
115285,Lab_FBIQuestionnaire,synchroneous,2207229,123.9837,send_bytes [00]
115365,Lab_FBIQuestionnaire,synchroneous,2208114,1008.518,send_bytes [00]
115376,Lab_FBIQuestionnaire,synchroneous,2208237,1131.535,send_bytes [00]
117808,Lab_FixationCross,asynchroneous,2235284,12.5914,send_bytes [2A]
117819,Lab_FixationCross,asynchroneous,2235396,124.1824,send_bytes [00]
117898,Lab_FixationCross,asynchroneous,2236270,998.7116,send_bytes [00]
117910,Lab_FixationCross,asynchroneous,2236403,1131.306,send_bytes [00]
119696,Lab_Stroking,asynchroneous,2256386,19.3189,send_bytes [2B]
119706,Lab_Stroking,asynchroneous,2256491,124.3308,send_bytes [00]
119777,Lab_Stroking,asynchroneous,2257370,1003.046,send_bytes [00]
119787,Lab_Stroking,asynchroneous,2257502,1135.46,send_bytes [00]
122932,Lab_FixationCross,asynchroneous,2296395,23.9225,send_bytes [2C]
122944,Lab_FixationCross,asynchroneous,2296507,135.3587,send_bytes [00]
123022,Lab_FixationCross,asynchroneous,2297373,1001.463,send_bytes [00]
123035,Lab_FixationCross,asynchroneous,2297517,1145.48,send_bytes [00]
124732,Lab_FBIQuestionnaire,asynchroneous,2316396,14.0961,send_bytes [2D]
124743,Lab_FBIQuestionnaire,asynchroneous,2316506,123.5786,send_bytes [00]
124822,Lab_FBIQuestionnaire,asynchroneous,2317384,1001.793,send_bytes [00]
124833,Lab_FBIQuestionnaire,asynchroneous,2317507,1124.815,send_bytes [00]
127225,Lab_FixationCross,synchroneous,2344107,13.5095,send_bytes [26]
127235,Lab_FixationCross,synchroneous,2344217,124.1069,send_bytes [00]
127314,Lab_FixationCross,synchroneous,2345092,998.6281,send_bytes [00]
127326,Lab_FixationCross,synchroneous,2345225,1131.221,send_bytes [00]
129116,Lab_Stroking,synchroneous,2365210,21.0318,send_bytes [27]
129126,Lab_Stroking,synchroneous,2365311,122.0426,send_bytes [00]
129198,Lab_Stroking,synchroneous,2366187,998.1535,send_bytes [00]
129209,Lab_Stroking,synchroneous,2366322,1132.591,send_bytes [00]
132366,Lab_FixationCross,synchroneous,2405209,15.8375,send_bytes [28]
132376,Lab_FixationCross,synchroneous,2405316,123.2709,send_bytes [00]
132455,Lab_FixationCross,synchroneous,2406194,1000.96,send_bytes [00]
132467,Lab_FixationCross,synchroneous,2406327,1133.975,send_bytes [00]
134165,Lab_FBIQuestionnaire,synchroneous,2425212,14.069,send_bytes [29]
