ellapsed_exp_time,frame_id,start_frame_time,ellapsed_element_time,element_order,routine_name,element_iteration,condition_name,condition_nb_calls,actions_count,connectors_count,connections_count,condition_duration,eyes_camera_pos,eyes_camera_rot,camera_calibration_pos,camera_calibration_rot,camera_rig_pos,camera_rig_rot,framerate
24.9885,0,18.0714,21.7584,0,Lab_Idle,0,default,0,16,0,0,10000,-0.001866831 1.372369 0.08694341,5.218973 0.005470013 1.343086,-0.001854739 1.372367 0.08694531,0 0.0101276 0,0.5681299 -1.249367 1.809945,0 179.9899 0,85.85084
45.182,1,26.1765,41.9546,0,Lab_Idle,0,default,0,16,0,0,10000,-0.001857605 1.372369 0.08694389,5.219237 0.008816767 1.340102,-0.001854739 1.372367 0.08694531,0 0.0101276 0,0.5681299 -1.249367 1.809945,0 179.9899 0,86.4108
57.0948,2,45.74,53.8659,0,Lab_Idle,0,default,0,16,0,0,10000,-0.001864334 1.372369 0.08694343,5.21897 0.007311948 1.343296,-0.001854739 1.372367 0.08694531,0 0.0101276 0,0.5681299 -1.249367 1.809945,0 179.9899 0,85.90012
68.6525,3,57.4688,65.4238,0,Lab_Idle,0,default,0,16,0,0,10000,-0.001865374 1.372373 0.08694038,5.216496 0.007685036 1.34445,-0.001854739 1.372367 0.08694531,0 0.0101276 0,0.5681299 -1.249367 1.809945,0 179.9899 0,85.8741
79.274,4,69.2682,76.0471,0,Lab_Idle,0,default,0,16,0,0,10000,-0.001860398 1.372374 0.08693919,5.215497 0.0105386 1.343974,-0.001854739 1.372367 0.08694531,0 0.0101276 0,0.5681299 -1.249367 1.809945,0 179.9899 0,85.87154
101.1986,5,79.721,97.9719,0,Lab_Idle,0,default,0,16,0,0,10000,-0.001860987 1.372374 0.08693966,5.215947 0.00886391 1.342552,-0.001854739 1.372367 0.08694531,0 0.0101276 0,0.5681299 -1.249367 1.809945,0 179.9899 0,85.99924
124.0897,6,101.6691,120.8633,0,Lab_Idle,0,default,0,16,0,0,10000,-0.001862015 1.372372 0.08694089,5.216909 0.009430974 1.343928,-0.001854739 1.372367 0.08694531,0 0.0101276 0,0.5681299 -1.249367 1.809945,0 179.9899 0,85.4461
134.78,7,124.6263,131.551,0,Lab_Idle,0,default,0,16,0,0,10000,-0.001867009 1.372373 0.08693998,5.216262 0.005470628 1.343202,-0.001854739 1.372367 0.08694531,0 0.0101276 0,0.5681299 -1.249367 1.809945,0 179.9899 0,84.88137
145.9108,8,135.0985,142.689,0,Lab_Idle,0,default,0,16,0,0,10000,-0.001860256 1.372371 0.086942,5.217815 0.009258694 1.342475,-0.001854739 1.372367 0.08694531,0 0.0101276 0,0.5681299 -1.249367 1.809945,0 179.9899 0,84.99988
167.7706,9,146.4236,164.5424,0,Lab_Idle,0,default,0,16,0,0,10000,-0.001861941 1.37237 0.08694238,5.218185 0.006074904 1.340203,-0.001854739 1.372367 0.08694531,0 0.0101276 0,0.5681299 -1.249367 1.809945,0 179.9899 0,85.0582
