ellapsed_exp_time,frame_id,start_frame_time,ellapsed_element_time,element_order,routine_name,element_iteration,condition_name,condition_nb_calls,actions_count,connectors_count,connections_count,condition_duration,eyes_camera_pos,eyes_camera_rot,camera_calibration_pos,camera_calibration_rot,camera_rig_pos,camera_rig_rot,framerate
21.5576,0,16.5489,19.3516,0,Lab_PBB_Questionnaire,0,default,0,20,4,4,1000,0 0 0,0 0 0,0 0 0,0 0 0,0.57 0.123 1.723,0 180 0,58.95021
35.0508,1,33.3229,32.846,0,Lab_PBB_Questionnaire,0,default,0,20,4,4,1000,0 0 0,0 0 0,0 0 0,0 0 0,0.57 0.123 1.723,0 180 0,58.97023
51.5195,2,49.8798,49.3135,0,Lab_PBB_Questionnaire,0,default,0,20,4,4,1000,0 0 0,0 0 0,0 0 0,0 0 0,0.57 0.123 1.723,0 180 0,58.98669
68.882,3,66.7214,66.677,0,Lab_PBB_Questionnaire,0,default,0,20,4,4,1000,0 0 0,0 0 0,0 0 0,0 0 0,0.57 0.123 1.723,0 180 0,59.00647
85.2587,4,83.2307,83.0538,0,Lab_PBB_Questionnaire,0,default,0,20,4,4,1000,0 0 0,0 0 0,0 0 0,0 0 0,0.57 0.123 1.723,0 180 0,59.02627
102.1087,5,100.0123,99.9033,0,Lab_PBB_Questionnaire,0,default,0,20,4,4,1000,0 0 0,0 0 0,0 0 0,0 0 0,0.57 0.123 1.723,0 180 0,59.04529
118.805,6,116.8305,116.5985,0,Lab_PBB_Questionnaire,0,default,0,20,4,4,1000,0 0 0,0 0 0,0 0 0,0 0 0,0.57 0.123 1.723,0 180 0,59.04565
136.0575,7,133.9576,133.8518,0,Lab_PBB_Questionnaire,0,default,0,20,4,4,1000,0 0 0,0 0 0,0 0 0,0 0 0,0.57 0.123 1.723,0 180 0,59.04535
152.4421,8,150.5519,150.2356,0,Lab_PBB_Questionnaire,0,default,0,20,4,4,1000,0 0 0,0 0 0,0 0 0,0 0 0,0.57 0.123 1.723,0 180 0,59.06527
169.1282,9,167.2842,166.9245,0,Lab_PBB_Questionnaire,0,default,0,20,4,4,1000,0 0 0,0 0 0,0 0 0,0 0 0,0.57 0.123 1.723,0 180 0,59.08503
185.7165,10,183.8637,183.5097,0,Lab_PBB_Questionnaire,0,default,0,20,4,4,1000,0 0 0,0 0 0,0 0 0,0 0 0,0.57 0.123 1.723,0 180 0,59.10427
202.9216,11,200.972,200.7152,0,Lab_PBB_Questionnaire,0,default,0,20,4,4,1000,0 0 0,0 0 0,0 0 0,0 0 0,0.57 0.123 1.723,0 180 0,59.1044
