frame_id,routine_name,condition_name,ellapsed_exp_time,ellapsed_element_time,trigger_info
0,Lab_Idle,default,34.3401,23.4056,send_bytes [0A]
6,Lab_Idle,default,147.93,136.995,send_bytes [00]
78,Lab_Idle,default,1002.453,991.5182,send_bytes [00]
90,Lab_Idle,default,1150.072,1139.137,send_bytes [00]
1373,Lab_Idle,default,16865.95,19.2457,send_bytes [1E]
1383,Lab_Idle,default,16970.96,124.2553,send_bytes [00]
1458,Lab_Idle,default,17846.06,999.3601,send_bytes [00]
1469,Lab_Idle,default,17982.08,1135.379,send_bytes [00]
11440,Forest_Control_Part1,default,145870.5,19.8392,send_bytes [21]
11445,Forest_Control_Part1,default,146006.9,156.2773,send_bytes [00]
11479,Forest_Control_Part1,default,146842.6,991.9576,send_bytes [00]
11486,Forest_Control_Part1,default,147021.6,1170.978,send_bytes [00]
14333,Night_Control_Part2,default,217479.6,19.9281,send_bytes [49]
14341,Night_Control_Part2,default,217600.6,140.9429,send_bytes [00]
14385,Night_Control_Part2,default,218445.7,986.0409,send_bytes [00]
14394,Night_Control_Part2,default,218612.3,1152.652,send_bytes [00]
32115,Forest_Control_Part3,default,557043.8,2.8286,send_bytes [4A]
32121,Forest_Control_Part3,default,557147.9,106.8423,send_bytes [00]
32158,Forest_Control_Part3,default,558038,996.9501,send_bytes [00]
32163,Forest_Control_Part3,default,558160,1118.964,send_bytes [00]
44451,Forest_PlatformMovement,default,865122.9,23.7015,send_bytes [23]
44457,Forest_PlatformMovement,default,865236.9,137.7111,send_bytes [00]
44492,Forest_PlatformMovement,default,866079.5,980.2315,send_bytes [00]
44498,Forest_PlatformMovement,default,866237.1,1137.834,send_bytes [00]
52412,Lab_WelcomeBack2,default,1060336,15.7776,send_bytes [24]
52422,Lab_WelcomeBack2,default,1060459,138.7947,send_bytes [00]
52490,Lab_WelcomeBack2,default,1061309,988.8953,send_bytes [00]
52502,Lab_WelcomeBack2,default,1061466,1145.916,send_bytes [00]
70404,Lab_PreFBI,default,1280815,21.1733,send_bytes [25]
70414,Lab_PreFBI,default,1280929,135.1847,send_bytes [00]
70485,Lab_PreFBI,default,1281788,993.2915,send_bytes [00]
70497,Lab_PreFBI,default,1281930,1135.307,send_bytes [00]
70686,Lab_FixationCross,asynchroneous,1284259,19.9684,send_bytes [2A]
70697,Lab_FixationCross,asynchroneous,1284362,122.9766,send_bytes [00]
