frame_id,routine_name,condition_name,ellapsed_exp_time,ellapsed_element_time,trigger_info
301198,Lab_FixationCross,asynchroneous,5317364,1120.071,send_bytes [00]
302984,Lab_Stroking,asynchroneous,5337348,19.8476,send_bytes [2B]
302993,Lab_Stroking,asynchroneous,5337464,135.8611,send_bytes [00]
303059,Lab_Stroking,asynchroneous,5338324,995.413,send_bytes [00]
303071,Lab_Stroking,asynchroneous,5338469,1140.988,send_bytes [00]
306261,Lab_FixationCross,asynchroneous,5377350,16.781,send_bytes [2C]
306272,Lab_FixationCross,asynchroneous,5377456,122.3717,send_bytes [00]
306350,Lab_FixationCross,asynchroneous,5378345,1011.501,send_bytes [00]
306360,Lab_FixationCross,asynchroneous,5378479,1145.511,send_bytes [00]
308046,Lab_FBIQuestionnaire,asynchroneous,5397354,15.7466,send_bytes [29]
308056,Lab_FBIQuestionnaire,asynchroneous,5397463,124.7587,send_bytes [00]
308135,Lab_FBIQuestionnaire,asynchroneous,5398340,1001.29,send_bytes [00]
308147,Lab_FBIQuestionnaire,asynchroneous,5398474,1135.305,send_bytes [00]
309477,Lab_FixationCross,synchroneous,5413357,12.695,send_bytes [26]
309488,Lab_FixationCross,synchroneous,5413467,123.284,send_bytes [00]
309567,Lab_FixationCross,synchroneous,5414341,997.402,send_bytes [00]
309579,Lab_FixationCross,synchroneous,5414474,1130.409,send_bytes [00]
311368,Lab_Stroking,synchroneous,5434468,15.5234,send_bytes [27]
311378,Lab_Stroking,synchroneous,5434576,123.955,send_bytes [00]
311450,Lab_Stroking,synchroneous,5435462,1009.649,send_bytes [00]
311460,Lab_Stroking,synchroneous,5435582,1130.087,send_bytes [00]
314653,Lab_FixationCross,synchroneous,5474471,15.5894,send_bytes [28]
314663,Lab_FixationCross,synchroneous,5474578,122.6044,send_bytes [00]
314743,Lab_FixationCross,synchroneous,5475466,1011.133,send_bytes [00]
314754,Lab_FixationCross,synchroneous,5475588,1133.149,send_bytes [00]
316450,Lab_FBIQuestionnaire,synchroneous,5494472,12.4886,send_bytes [2D]
316459,Lab_FBIQuestionnaire,synchroneous,5494584,123.9254,send_bytes [00]
316539,Lab_FBIQuestionnaire,synchroneous,5495469,1009.617,send_bytes [00]
316550,Lab_FBIQuestionnaire,synchroneous,5495593,1132.631,send_bytes [00]
318288,Lab_FixationCross,synchroneous,5514934,13.1515,send_bytes [26]
318298,Lab_FixationCross,synchroneous,5515044,123.5861,send_bytes [00]
318377,Lab_FixationCross,synchroneous,5515918,997.28,send_bytes [00]
318389,Lab_FixationCross,synchroneous,5516051,1130.712,send_bytes [00]
320178,Lab_Stroking,synchroneous,5536053,13.8793,send_bytes [27]
320188,Lab_Stroking,synchroneous,5536163,123.8927,send_bytes [00]
320260,Lab_Stroking,synchroneous,5537029,989.5759,send_bytes [00]
320272,Lab_Stroking,synchroneous,5537173,1133.595,send_bytes [00]
323467,Lab_FixationCross,synchroneous,5576062,18.6727,send_bytes [28]
323478,Lab_FixationCross,synchroneous,5576167,123.6781,send_bytes [00]
323558,Lab_FixationCross,synchroneous,5577056,1012.796,send_bytes [00]
323569,Lab_FixationCross,synchroneous,5577178,1134.807,send_bytes [00]
325267,Lab_FBIQuestionnaire,synchroneous,5596067,13.4021,send_bytes [2D]
325277,Lab_FBIQuestionnaire,synchroneous,5596176,122.8664,send_bytes [00]
325356,Lab_FBIQuestionnaire,synchroneous,5597054,1000.534,send_bytes [00]
325367,Lab_FBIQuestionnaire,synchroneous,5597177,1122.961,send_bytes [00]
