ellapsed_exp_time,frame_id,start_frame_time,ellapsed_element_time,routine_name,element_iteration,condition_name,camera_rig_pos,camera_rig_rot,framerate
757.0917,52,746.3662,753.8237,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,82.08497
779.707,53,757.7366,776.4355,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,82.0619
790.46,54,780.3679,787.1916,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,81.34398
801.4027,55,791.143,798.16,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,81.37816
812.4556,56,801.9805,809.1837,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,81.41049
834.7211,57,813.0085,831.4538,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,81.4033
845.6997,58,835.6476,842.4276,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,80.69124
857.0115,59,846.0887,853.7409,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,80.75288
868.0991,60,857.4902,864.8293,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,80.70145
890.4985,61,868.504,887.2281,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,80.71809
901.4965,62,891.7599,898.2241,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.96175
912.4542,63,902.0526,909.1844,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,80.03703
935.4221,64,913.0335,932.1514,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,80.02162
945.6709,65,936.2531,942.3981,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.23309
957.0561,66,946.2841,953.7856,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.33131
968.154,67,957.631,964.8818,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.32513
990.505,68,968.8237,987.2372,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.31302
1001.699,69,991.328,998.4284,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.52539
1012.431,70,1002.124,1009.158,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.56473
1023.497,71,1012.851,1020.228,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.7689
1045.926,72,1024.201,1042.656,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.02535
1056.856,73,1046.677,1053.586,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.80741
1068.018,74,1058.211,1064.752,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.93781
1090.499,75,1068.614,1087.231,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.11423
1101.391,76,1092.293,1098.121,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.56532
1112.479,77,1101.903,1109.206,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.00323
1123.787,78,1113.054,1120.52,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.1758
1146.022,79,1124.445,1142.752,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.17785
1157.073,80,1147.079,1153.803,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,77.92258
1168.135,81,1157.723,1164.866,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.14677
1191.474,82,1168.689,1188.211,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.2504
1201.511,83,1192.511,1198.239,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.01476
1212.087,84,1201.977,1208.814,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.12351
1235.43,85,1212.712,1232.16,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.35603
1245.612,86,1236.111,1242.339,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.19111
1257.002,87,1245.981,1253.733,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.49923
1268.023,88,1257.587,1264.751,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.44476
1290.382,89,1268.459,1287.112,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.47266
1301.482,90,1291.212,1298.21,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.47123
1312.564,91,1301.899,1309.293,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.50753
1323.51,92,1313.032,1320.241,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.46905
1345.858,93,1324.088,1342.588,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.64285
1356.98,94,1346.354,1353.709,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.40476
1367.967,95,1357.504,1364.696,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.39458
1379.04,96,1368.362,1375.768,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.44025
1401.568,97,1379.638,1398.298,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.60512
1412.406,98,1402.086,1409.133,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.49597
1423.663,99,1412.808,1420.397,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.25743
1445.99,100,1424.24,1442.721,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.40207
1456.996,101,1446.504,1453.726,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.41364
1468.208,102,1457.647,1464.939,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.36668
1478.9,103,1468.672,1475.627,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.38236
1502.006,104,1479.478,1498.738,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.59428
1512.428,105,1502.528,1509.155,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.40139
1523.413,106,1512.805,1520.141,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.4463
1534.698,107,1523.812,1531.427,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.61998
1557.715,108,1535.102,1554.458,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,79.24716
1568.116,109,1558.489,1564.844,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.17137
1578.905,110,1568.672,1575.631,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.41921
1601.665,111,1579.45,1598.394,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.61655
1612.465,112,1602.319,1609.193,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.40405
1623.537,113,1613.213,1620.271,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.39397
1634.826,114,1624.239,1631.554,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.56706
1657.3,115,1635.86,1654.034,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.93343
1668.111,116,1658.211,1664.84,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.11277
1679.095,117,1668.698,1675.822,Lab_Idle,0,default,0.5704806 -1.254468 1.805453,0 131.3723 0,78.33662
